0,aa29e9a2-4aa38e4f-26bc8bc1-f9b7d3b5-1204e353,2019-07-15 17:42:10.501,63698809330501
1,f2a45433-57e9f6ad-27c8d077-7827ddb1-668d6cfd,2019-07-15 17:51:28.878,558377
2,f6502737-46399ac3-f39f7da1-2e12c552-d8a14095,2019-07-15 17:51:28.941,63
3,f6a7b9b2-31d29d15-15140fce-a769cd05-195ce98f,2019-07-15 17:51:29.331,390
4,39eb79e9-95e24c67-5fc6678e-90a07ff7-67b40ca1,2019-07-15 17:51:29.394,63
5,b84e1da8-fe2ce7c7-fcb8476b-7506a777-e4274904,2019-07-15 17:51:29.440,46
6,7b06bc38-48abff5c-34673a6f-d5a47af8-2bd6e2be,2019-07-15 17:51:29.487,47
7,f4076a62-30a4921c-faf0f30e-ac999a16-8b52b947,2019-07-15 17:51:29.550,63
8,a13f8955-e812c9ed-508291fe-3e3cb812-9cdf6727,2019-07-15 17:51:29.581,31
9,9a82c4f9-d34d8956-fcb9a1c6-d590be48-2b5335ce,2019-07-15 17:51:29.628,47
10,6a5d86b5-15825adb-1d204c55-edd8e63a-2f134ed0,2019-07-15 17:51:29.987,359
11,6027ae9c-5134d8f9-044b009c-e0f71be0-f5b00e06,2019-07-15 17:51:30.050,63
12,048a1ff7-c1cafc77-47765082-b88ed30f-a1b5c0f3,2019-07-15 17:51:30.097,47
13,d16b0547-c454b5f5-f599d107-99ddb268-c580f21c,2019-07-15 17:51:30.159,62
14,166a4c90-f3d20b0a-49c51be5-dd7f9f85-a1d5e3af,2019-07-15 17:51:30.190,31
15,08ad7d87-ee0f073e-54942757-cf48b144-5b7ea09a,2019-07-15 17:51:30.222,32
16,aa9179d5-2adfac63-9b86aa4b-36649f08-69c0d44a,2019-07-15 17:51:30.253,31
17,a6beef7b-77081a77-e48b9291-3673525b-0c989fd1,2019-07-15 17:51:30.300,47
18,e5e7d7e4-0b01faf2-46fc410a-7a12a056-3937a914,2019-07-15 17:51:30.347,47
19,0158cdf2-19ec273f-b8b74246-2ef790ee-aff8341f,2019-07-15 17:51:30.394,47
20,b8c9f1ab-047828de-4d6ab6fd-ac814379-d2d5ab99,2019-07-15 17:51:30.440,46
21,d3dc3abc-40ceab77-e9f84884-3db21d6a-e7e7bc22,2019-07-15 17:51:30.816,376
22,8a721e82-b45b1510-c3b9dde1-055b5717-e642c834,2019-07-15 17:51:30.862,46
23,80cb0fd2-75ef440f-5a5fb88f-12cc3399-6fa86add,2019-07-15 17:51:30.909,47
24,c3dd0abc-ccba7607-6aa804da-10fd4e05-f458bc42,2019-07-15 17:51:30.956,47
25,96b9a143-51300dea-b6054859-b7cfc562-2c966203,2019-07-15 17:51:31.019,63
26,00ddada1-c48060ca-a29a1967-1ebcacd9-d0980fb9,2019-07-15 17:51:31.066,47
27,38276ad2-0d550b2e-1c50be7d-a7e5426f-55feaa9d,2019-07-15 17:51:31.112,46
28,201f750b-988f6417-f693b8c3-f06cb10c-4f56bad1,2019-07-15 17:51:31.144,32
29,2493d745-fcfcecba-d1302e4d-e8faf156-91d4b242,2019-07-15 17:51:31.206,62
